id,sentiment
"12311_10",0.91
"8348_2",0.18
"5828_4",0.79
"7186_2",0.57
"12128_7",0.75
"2913_8",0.59
"4396_1",0.23
"395_2",0.28
"10616_1",0.17
"9074_9",0.65
"9252_3",0.52
"9896_9",0.63
"574_4",0.45
"11182_8",0.84
"11656_4",0.38
"2322_4",0.53
"8703_1",0.3
"7483_1",0.28
"6007_10",0.86
"12424_4",0.29
"4672_1",0.2
"10841_3",0.15
"8954_7",0.53
"7392_1",0.2
"10288_8",0.7
"5343_4",0.05
"4950_1",0.14
"9257_4",0.6
"8689_3",0.34
"4480_2",0.36
"9286_10",0.59
"12245_10",0.93
"7529_7",0.61
"4_4",0.32
"5299_2",0.18
"12077_8",0.81
"10701_2",0.15
"11579_1",0.3
"10993_1",0.19
"8913_1",0.32
"1350_3",0.37
"3804_2",0.45
"5025_3",0.37
"5170_8",0.49
"8225_8",0.6
"6427_7",0.71
"3165_3",0.59
"7902_9",0.78
"8208_3",0.16
"3577_8",0.67
"4865_1",0.31
"9063_3",0.39
"1106_1",0.59
"1117_9",0.64
"1050_4",0.3
"10755_9",0.5
"2729_8",0.75
"10072_10",0.71
"2904_7",0.71
"4584_2",0.53
"189_4",0.66
"6302_4",0.5
"8138_9",0.66
"1262_1",0.38
"2199_10",0.72
"6551_7",0.61
"8082_7",0.4
"4897_8",0.55
"7360_1",0.39
"11012_10",0.65
"12046_1",0.5
"2331_2",0.72
"8961_9",0.63
"751_7",0.63
"9884_10",0.66
"10016_8",0.7
"8023_10",0.58
"2628_1",0.15
"5832_1",0.31
"7302_1",0.23
"4501_3",0.36
"1121_7",0.47
"8334_3",0.46
"9789_10",0.42
"4230_10",0.88
"824_4",0.22
"6803_9",0.79
"3086_7",0.69
"1135_8",0.72
"10136_1",0.19
"11129_3",0.17
"2072_8",0.61
"9501_7",0.66
"319_10",0.62
"1693_7",0.85
"10886_1",0.2
"9406_8",0.71
"10376_10",0.2
"9902_1",0.11
"9938_8",0.54
"7080_9",0.63
"11944_8",0.49
"5249_1",0.21
"9599_2",0.31
"9620_1",0.31
"11244_1",0.26
"6841_10",0.7
"10050_4",0.57
"10512_9",0.89
"11327_3",0.16
"10681_8",0.64
"808_3",0.51
"546_7",0.91
"10765_1",0.24
"7189_9",0.84
"6005_9",0.48
"11915_9",0.88
