id,sentiment
"12311_10",0.87
"8348_2",0.16
"5828_4",0.71
"7186_2",0.66
"12128_7",0.71
"2913_8",0.44
"4396_1",0.17
"395_2",0.51
"10616_1",0.12
"9074_9",0.52
"9252_3",0.4
"9896_9",0.58
"574_4",0.54
"11182_8",0.69
"11656_4",0.41
"2322_4",0.56
"8703_1",0.48
"7483_1",0.19
"6007_10",0.86
"12424_4",0.18
"4672_1",0.22
"10841_3",0.13
"8954_7",0.56
"7392_1",0.12
"10288_8",0.7
"5343_4",0.18
"4950_1",0.17
"9257_4",0.38
"8689_3",0.37
"4480_2",0.49
"9286_10",0.79
"12245_10",0.91
"7529_7",0.73
"4_4",0.49
"5299_2",0.25
"12077_8",0.76
"10701_2",0.13
"11579_1",0.24
"10993_1",0.27
"8913_1",0.22
"1350_3",0.25
"3804_2",0.38
"5025_3",0.41
"5170_8",0.53
"8225_8",0.59
"6427_7",0.71
"3165_3",0.47
"7902_9",0.82
"8208_3",0.18
"3577_8",0.55
"4865_1",0.39
"9063_3",0.35
"1106_1",0.62
"1117_9",0.69
"1050_4",0.35
"10755_9",0.45
"2729_8",0.72
"10072_10",0.57
"2904_7",0.78
"4584_2",0.55
"189_4",0.57
"6302_4",0.37
"8138_9",0.55
"1262_1",0.24
"2199_10",0.6
"6551_7",0.51
"8082_7",0.42
"4897_8",0.62
"7360_1",0.4
"11012_10",0.64
"12046_1",0.48
"2331_2",0.59
"8961_9",0.56
"751_7",0.64
"9884_10",0.79
"10016_8",0.72
"8023_10",0.51
"2628_1",0.22
"5832_1",0.25
"7302_1",0.2
"4501_3",0.53
"1121_7",0.5
"8334_3",0.56
"9789_10",0.63
"4230_10",0.95
"824_4",0.35
"6803_9",0.64
"3086_7",0.87
"1135_8",0.69
"10136_1",0.23
"11129_3",0.17
"2072_8",0.56
"9501_7",0.78
"319_10",0.6
"1693_7",0.83
"10886_1",0.11
"9406_8",0.58
"10376_10",0.33
"9902_1",0.35
"9938_8",0.5
"7080_9",0.67
"11944_8",0.61
"5249_1",0.22
"9599_2",0.38
"9620_1",0.25
"11244_1",0.27
"6841_10",0.77
"10050_4",0.41
"10512_9",0.94
"11327_3",0.22
"10681_8",0.78
"808_3",0.53
"546_7",0.9
"10765_1",0.24
"7189_9",0.79
"6005_9",0.63
"11915_9",0.54
"5740_10",0.78
"7097_10",0.55
"9573_10",0.7
"5084_4",0.29
"12332_7",0.6
"8154_1",0.29
"5610_1",0.51
"5323_9",0.54
"11034_8",0.62
"3977_2",0.2
"12380_7",0.29
"1737_8",0.5
"6030_9",0.6
"5918_7",0.66
"7061_9",0.39
"266_8",0.6
"1375_10",0.61
"8648_3",0.27
"10146_10",0.83
"4578_10",0.6
"4685_8",0.64
"11843_9",0.72
"5467_10",0.89
"10140_10",0.7
"7721_8",0.81
"11208_10",0.38
"1063_10",0.72
"8260_10",0.78
