id,sentiment
"12311_10",0.88
"8348_2",0.03
"5828_4",0.66
"7186_2",0.39
"12128_7",0.68
"2913_8",0.93
"4396_1",0.29
"395_2",0.3
"10616_1",0.05
"9074_9",0.79
"9252_3",0.42
"9896_9",0.6
"574_4",0.51
"11182_8",0.39
"11656_4",0.24
"2322_4",0.7
"8703_1",0.54
"7483_1",0.47
"6007_10",0.8
"12424_4",0.4
"4672_1",0.0
"10841_3",0.31
"8954_7",0.38
"7392_1",0.5
"10288_8",0.82
"5343_4",0.03
"4950_1",0.06
"9257_4",0.57
"8689_3",0.31
"4480_2",0.11
"9286_10",0.66
"12245_10",0.87
"7529_7",0.86
"4_4",0.16
"5299_2",0.07
"12077_8",0.74
"10701_2",0.17
"11579_1",0.02
"10993_1",0.43
"8913_1",0.08
"1350_3",0.58
"3804_2",0.28
"5025_3",0.33
"5170_8",0.86
"8225_8",0.92
"6427_7",0.79
"3165_3",0.24
"7902_9",0.95
"8208_3",0.04
"3577_8",0.98
"4865_1",0.01
"9063_3",0.48
"1106_1",0.26
"1117_9",0.98
"1050_4",0.63
"10755_9",0.85
"2729_8",0.67
"10072_10",0.9
"2904_7",0.96
"4584_2",0.72
"189_4",0.58
"6302_4",0.49
"8138_9",0.51
"1262_1",0.38
"2199_10",0.88
"6551_7",0.57
"8082_7",0.48
"4897_8",0.97
"7360_1",0.02
"11012_10",0.88
"12046_1",0.76
"2331_2",0.48
"8961_9",0.96
"751_7",0.39
"9884_10",0.67
"10016_8",0.87
"8023_10",0.45
"2628_1",0.05
"5832_1",0.03
"7302_1",0.18
"4501_3",0.32
"1121_7",0.62
"8334_3",0.51
"9789_10",0.41
"4230_10",0.68
"824_4",0.15
"6803_9",0.9
"3086_7",0.71
"1135_8",0.69
"10136_1",0.13
"11129_3",0.24
"2072_8",0.59
"9501_7",0.85
"319_10",0.88
"1693_7",0.84
"10886_1",0.03
"9406_8",0.77
"10376_10",0.1
"9902_1",0.07
"9938_8",0.44
"7080_9",0.85
"11944_8",0.45
"5249_1",0.01
"9599_2",0.3
"9620_1",0.27
"11244_1",0.4
"6841_10",0.98
"10050_4",0.93
"10512_9",0.61
"11327_3",0.26
"10681_8",0.76
"808_3",0.68
"546_7",0.86
"10765_1",0.0
"7189_9",0.61
"6005_9",0.83
"11915_9",0.84
"5740_10",0.68
"7097_10",0.48
"9573_10",0.66
"5084_4",0.4
"12332_7",0.42
"8154_1",0.14
"5610_1",0.21
"5323_9",0.75
"11034_8",0.87
"3977_2",0.55
"12380_7",0.37
"1737_8",0.5
"6030_9",0.34
"5918_7",0.91
"7061_9",0.64
"266_8",0.54
"1375_10",0.85
"8648_3",0.12
"10146_10",0.72
"4578_10",0.78
"4685_8",0.69
"11843_9",0.73
"5467_10",0.88
"10140_10",0.86
"7721_8",0.88
"11208_10",0.27
"1063_10",0.61
"8260_10",0.43
"3182_9",0.75
"2797_8",0.78
"7613_2",0.86
"11624_4",0.53
"4847_10",0.75
"10684_7",0.62
"6312_1",0.68
"4925_3",0.15
"4125_1",0.02
"2394_10",0.87
"12105_10",0.81
"7812_1",0.21
"1061_8",0.73
"9343_3",0.36
"7696_10",0.93
"9355_10",1.0
"782_9",0.98
"9882_10",0.89
"10642_10",0.67
"7410_2",0.22
"9591_4",0.18
"11902_3",0.42
"3495_7",0.37
"6733_1",0.07
"4552_1",0.0
"6722_1",0.47
"188_10",0.89
"5099_10",0.79
"10313_1",0.47
"6756_9",0.61
"6622_2",0.05
"4807_10",0.88
"7173_3",0.6
"11321_8",0.61
"7909_9",0.63
"8012_7",0.35
"8615_4",0.4
"8117_10",0.85
"1892_10",0.68
"4617_1",0.15
"1893_8",0.64
"5435_1",0.03
"162_3",0.37
"6516_10",0.89
"11588_7",0.89
"2006_1",0.05
"1594_4",0.46
"1472_1",0.16
"3647_1",0.43
"174_7",0.55
"5539_7",0.24
"3384_10",0.96
"3811_4",0.53
"4079_8",0.63
"1179_7",0.55
"3069_9",0.84
"3769_8",0.67
"9247_10",0.68
"10434_1",0.07
"1147_10",0.64
"5344_7",0.83
"8073_10",0.77
"7833_3",0.08
"8370_1",0.21
"9007_8",0.18
"6624_7",0.55
"6683_3",0.07
"12275_7",0.64
"11927_8",0.64
"1560_10",0.95
"1325_9",0.56
"3548_8",0.45
"607_1",0.02
"6702_7",0.57
"5702_3",0.08
"11345_8",0.88
"3428_4",0.46
"7209_9",0.88
"8425_8",0.8
"3087_1",0.38
"1119_8",0.73
"5715_3",0.67
"8645_1",0.22
"2149_3",0.07
"10403_10",0.32
"5628_1",0.17
"5570_10",0.78
"1613_3",0.22
"1454_4",0.63
"5094_3",0.19
"7982_1",0.71
"6894_2",0.54
"6554_1",0.36
"4721_3",0.45
"6904_4",0.16
"893_8",0.93
"4605_4",0.51
"11516_7",0.69
