id,sentiment
"12311_10",0.51
"8348_2",0.55
"5828_4",0.5
"7186_2",0.49
"12128_7",0.39
"2913_8",0.38
"4396_1",0.35
"395_2",0.56
"10616_1",0.57
"9074_9",0.62
"9252_3",0.58
"9896_9",0.39
"574_4",0.44
"11182_8",0.53
"11656_4",0.41
"2322_4",0.18
"8703_1",0.57
"7483_1",0.31
"6007_10",0.5
"12424_4",0.45
"4672_1",0.35
"10841_3",0.53
"8954_7",0.43
"7392_1",0.58
"10288_8",0.88
"5343_4",0.27
"4950_1",0.5
"9257_4",0.31
"8689_3",0.57
"4480_2",0.32
"9286_10",0.52
"12245_10",0.59
"7529_7",0.44
"4_4",0.54
"5299_2",0.27
"12077_8",0.28
"10701_2",0.46
"11579_1",0.21
"10993_1",0.5
"8913_1",0.3
"1350_3",0.28
"3804_2",0.53
"5025_3",0.52
"5170_8",0.48
"8225_8",0.69
"6427_7",0.63
"3165_3",0.5
"7902_9",0.82
"8208_3",0.66
"3577_8",0.76
"4865_1",0.23
"9063_3",0.56
"1106_1",0.51
"1117_9",0.63
"1050_4",0.66
"10755_9",0.68
"2729_8",0.55
"10072_10",0.45
"2904_7",0.49
"4584_2",0.55
"189_4",0.54
"6302_4",0.39
"8138_9",0.53
"1262_1",0.43
"2199_10",0.27
"6551_7",0.38
"8082_7",0.6
"4897_8",0.66
"7360_1",0.32
"11012_10",0.69
"12046_1",0.58
"2331_2",0.5
"8961_9",0.53
"751_7",0.61
"9884_10",0.64
"10016_8",0.61
"8023_10",0.4
"2628_1",0.54
"5832_1",0.49
"7302_1",0.46
"4501_3",0.66
"1121_7",0.57
"8334_3",0.47
"9789_10",0.51
"4230_10",0.42
"824_4",0.33
"6803_9",0.72
"3086_7",0.59
"1135_8",0.59
"10136_1",0.72
"11129_3",0.44
"2072_8",0.47
"9501_7",0.53
"319_10",0.4
"1693_7",0.61
"10886_1",0.53
"9406_8",0.58
"10376_10",0.35
"9902_1",0.62
"9938_8",0.52
"7080_9",0.64
"11944_8",0.18
"5249_1",0.41
"9599_2",0.25
"9620_1",0.54
"11244_1",0.48
"6841_10",0.59
"10050_4",0.8
"10512_9",0.55
"11327_3",0.46
"10681_8",0.37
"808_3",0.69
"546_7",0.77
"10765_1",0.42
"7189_9",0.51
"6005_9",0.65
"11915_9",0.52
"5740_10",0.57
"7097_10",0.47
"9573_10",0.52
"5084_4",0.56
"12332_7",0.49
"8154_1",0.48
"5610_1",0.63
"5323_9",0.58
"11034_8",0.55
"3977_2",0.5
"12380_7",0.65
"1737_8",0.31
"6030_9",0.27
"5918_7",0.49
"7061_9",0.55
"266_8",0.44
"1375_10",0.3
"8648_3",0.68
"10146_10",0.62
"4578_10",0.52
"4685_8",0.42
"11843_9",0.45
"5467_10",0.74
"10140_10",0.71
"7721_8",0.55
"11208_10",0.6
"1063_10",0.57
"8260_10",0.58
"3182_9",0.64
"2797_8",0.66
"7613_2",0.52
"11624_4",0.24
"4847_10",0.76
"10684_7",0.57
"6312_1",0.73
"4925_3",0.45
"4125_1",0.54
"2394_10",0.41
"12105_10",0.6
"7812_1",0.53
"1061_8",0.61
"9343_3",0.47
"7696_10",0.52
"9355_10",0.78
"782_9",0.5
"9882_10",0.64
"10642_10",0.61
"7410_2",0.62
"9591_4",0.51
"11902_3",0.64
"3495_7",0.49
"6733_1",0.58
"4552_1",0.23
"6722_1",0.62
"188_10",0.6
"5099_10",0.4
"10313_1",0.32
"6756_9",0.48
"6622_2",0.43
"4807_10",0.53
"7173_3",0.5
"11321_8",0.43
"7909_9",0.45
"8012_7",0.61
"8615_4",0.22
"8117_10",0.55
"1892_10",0.43
"4617_1",0.4
"1893_8",0.27
"5435_1",0.42
"162_3",0.38
"6516_10",0.57
"11588_7",0.57
"2006_1",0.2
"1594_4",0.75
"1472_1",0.47
"3647_1",0.42
"174_7",0.62
"5539_7",0.65
"3384_10",0.56
"3811_4",0.4
"4079_8",0.71
"1179_7",0.6
"3069_9",0.49
"3769_8",0.66
"9247_10",0.47
"10434_1",0.42
"1147_10",0.52
"5344_7",0.56
"8073_10",0.54
"7833_3",0.47
"8370_1",0.24
"9007_8",0.44
"6624_7",0.62
"6683_3",0.43
"12275_7",0.69
"11927_8",0.55
"1560_10",0.45
"1325_9",0.54
"3548_8",0.62
"607_1",0.55
"6702_7",0.63
"5702_3",0.33
"11345_8",0.48
"3428_4",0.58
"7209_9",0.51
"8425_8",0.59
"3087_1",0.54
"1119_8",0.54
"5715_3",0.82
"8645_1",0.68
"2149_3",0.32
"10403_10",0.52
"5628_1",0.26
"5570_10",0.6
"1613_3",0.29
"1454_4",0.38
"5094_3",0.54
"7982_1",0.57
"6894_2",0.44
"6554_1",0.54
"4721_3",0.51
"6904_4",0.69
"893_8",0.77
"4605_4",0.56
"11516_7",0.45
"11718_7",0.39
"5956_1",0.47
"7455_9",0.63
"6396_4",0.51
"1223_8",0.45
"8556_1",0.66
"6108_8",0.6
"11690_1",0.34
"3778_9",0.56
"3627_4",0.66
"8256_4",0.73
"533_1",0.24
"5235_4",0.31
"621_2",0.63
"5365_1",0.49
"8180_3",0.44
"7396_7",0.58
"9776_10",0.53
"8175_10",0.58
"3128_1",0.54
"4606_1",0.51
"6158_2",0.47
"3281_10",0.85
"4723_4",0.4
"11994_3",0.66
"7701_1",0.47
"103_3",0.27
"8908_10",0.54
"8876_1",0.6
"7519_9",0.46
"12456_8",0.48
"9514_8",0.66
"8680_8",0.35
"12402_10",0.55
"362_2",0.54
"9825_7",0.47
"2913_3",0.55
"7164_8",0.4
"11177_7",0.36
"5707_10",0.42
"8103_10",0.52
"6289_1",0.48
"11754_1",0.55
"11640_10",0.45
"9933_7",0.61
"185_10",0.43
"242_10",0.74
"9369_8",0.46
"7453_10",0.31
"7514_7",0.42
"10860_2",0.49
"8663_8",0.61
"9108_1",0.22
"7941_1",0.75
"10116_1",0.37
"9841_4",0.67
"4512_9",0.39
"4853_2",0.6
"2664_4",0.73
"9966_10",0.64
"5167_2",0.68
"3894_2",0.25
"3929_8",0.51
"7165_10",0.6
"5451_8",0.35
"2947_4",0.41
"4611_10",0.69
"5807_1",0.61
"9464_8",0.43
"3124_10",0.68
"2705_4",0.6
"12187_8",0.63
"12319_10",0.65
"9874_3",0.52
"3406_4",0.25
"2327_10",0.51
"605_10",0.57
"8080_4",0.59
"3074_10",0.69
"2499_3",0.59
"1013_1",0.48
"11535_1",0.59
"4118_7",0.57
"10492_8",0.52
"2129_4",0.66
"9814_10",0.53
"10671_9",0.35
"5980_10",0.38
"2755_2",0.52
"5461_2",0.42
"11979_1",0.66
"8810_1",0.46
"852_7",0.82
"10961_4",0.19
"7436_4",0.36
"11281_3",0.52
"4208_3",0.62
"8213_10",0.5
"9851_2",0.42
"4713_7",0.57
"9528_1",0.37
"3595_10",0.63
"5785_3",0.62
"10370_3",0.29
"1980_3",0.34
"8800_4",0.48
"4437_3",0.31
"28_3",0.66
"12171_1",0.51
"9359_3",0.63
"3831_9",0.48
"10962_7",0.7
"1500_9",0.44
"11470_10",0.36
"11843_3",0.28
"11200_4",0.54
"1067_1",0.25
"3333_1",0.45
"4487_4",0.62
"6428_1",0.56
"575_7",0.3
"10904_9",0.41
"11821_2",0.55
"11605_1",0.47
"1111_7",0.53
"10295_1",0.57
"1146_4",0.42
"2405_9",0.55
"11081_10",0.36
"2201_10",0.5
"4844_1",0.52
"11007_8",0.56
"6535_7",0.47
"2653_4",0.65
"8245_10",0.59
"9951_8",0.5
"6133_8",0.1
"10006_2",0.44
"7350_1",0.57
"4509_9",0.54
"948_1",0.49
"3987_1",0.55
"2947_10",0.31
"6041_3",0.29
"2946_1",0.34
"11967_4",0.76
"1185_10",0.59
"10323_2",0.28
"11706_2",0.54
"3663_1",0.16
"5602_10",0.74
"4870_10",0.29
"1994_1",0.6
"10807_7",0.56
"6871_3",0.41
"1175_2",0.66
"10919_7",0.6
"8127_10",0.48
"12497_4",0.57
"3274_1",0.33
"2568_3",0.51
"840_2",0.75
"5626_10",0.6
"7561_10",0.45
"4600_3",0.37
"3324_9",0.6
"8899_7",0.55
"5592_8",0.26
"12483_4",0.38
"7874_1",0.28
